time,u,y
0.000000000000000000e+00,2.900000000000000000e+02,3.126562010267355731e+02
1.001001001001001062e-01,2.900000000000000000e+02,3.125005751345825615e+02
2.002002002002002123e-01,2.900000000000000000e+02,3.126299615321100305e+02
3.003003003003003046e-01,2.900000000000000000e+02,3.127452971560605874e+02
4.004004004004004247e-01,2.900000000000000000e+02,3.126061161454470039e+02
5.005005005005005447e-01,2.900000000000000000e+02,3.126069327853778077e+02
6.006006006006006093e-01,2.900000000000000000e+02,3.128318714491881565e+02
7.007007007007007848e-01,2.900000000000000000e+02,3.129132450266535557e+02
8.008008008008008494e-01,2.900000000000000000e+02,3.129590728031649292e+02
9.009009009009009139e-01,2.900000000000000000e+02,3.129173833313291198e+02
1.001001001001001089e+00,2.900000000000000000e+02,3.128484556541406505e+02
1.101101101101101154e+00,2.900000000000000000e+02,3.127067255224125120e+02
1.201201201201201219e+00,2.900000000000000000e+02,3.126810449762636495e+02
1.301301301301301283e+00,2.900000000000000000e+02,3.126063944656953595e+02
1.401401401401401570e+00,2.900000000000000000e+02,3.126312956553325080e+02
1.501501501501501634e+00,2.900000000000000000e+02,3.126580505494505928e+02
1.601601601601601699e+00,2.900000000000000000e+02,3.127885851189234359e+02
1.701701701701701763e+00,2.900000000000000000e+02,3.127505279144606902e+02
1.801801801801801828e+00,2.900000000000000000e+02,3.127929077866122611e+02
1.901901901901902114e+00,2.900000000000000000e+02,3.127256120619470039e+02
2.002002002002002179e+00,2.900000000000000000e+02,3.127229167535728038e+02
2.102102102102102243e+00,2.900000000000000000e+02,3.129004602192836728e+02
2.202202202202202308e+00,2.900000000000000000e+02,3.129436702020799999e+02
2.302302302302302373e+00,2.900000000000000000e+02,3.127422810574815912e+02
2.402402402402402437e+00,2.900000000000000000e+02,3.127240103374600153e+02
2.502502502502502502e+00,2.900000000000000000e+02,3.127698036326569877e+02
2.602602602602602566e+00,2.900000000000000000e+02,3.126868178592189906e+02
2.702702702702703075e+00,2.900000000000000000e+02,3.126478030284075089e+02
2.802802802802803139e+00,2.900000000000000000e+02,3.126770508898894150e+02
2.902902902902903204e+00,2.900000000000000000e+02,3.126404486125097151e+02
3.003003003003003268e+00,2.900000000000000000e+02,3.127960888736653828e+02
3.103103103103103333e+00,2.900000000000000000e+02,3.127083779588618313e+02
3.203203203203203397e+00,2.900000000000000000e+02,3.127810505243952548e+02
3.303303303303303462e+00,2.900000000000000000e+02,3.127638730163342302e+02
3.403403403403403527e+00,2.900000000000000000e+02,3.128537807982431218e+02
3.503503503503503591e+00,2.900000000000000000e+02,3.128056599880251269e+02
3.603603603603603656e+00,2.900000000000000000e+02,3.128650471055522644e+02
3.703703703703703720e+00,2.900000000000000000e+02,3.129597529296100333e+02
3.803803803803804229e+00,2.900000000000000000e+02,3.128572854734642306e+02
3.903903903903904293e+00,2.900000000000000000e+02,3.128638599588492184e+02
4.004004004004004358e+00,2.900000000000000000e+02,3.127146556649568083e+02
4.104104104104104422e+00,2.900000000000000000e+02,3.127725865413025303e+02
4.204204204204204487e+00,2.900000000000000000e+02,3.128165679831958528e+02
4.304304304304304551e+00,2.900000000000000000e+02,3.128443420173217078e+02
4.404404404404404616e+00,2.900000000000000000e+02,3.128205913460597003e+02
4.504504504504504681e+00,2.900000000000000000e+02,3.127264071341870704e+02
4.604604604604604745e+00,2.900000000000000000e+02,3.128289251285365822e+02
